query,KO,taxon,score
g3878.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_CR04840CA,108.612
g4345.t1,K15140,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C101280CA,134.806
g2954.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_CR00170WA,200.675
g4426.t1,None,Fungi | Ascomycetes | Eurotiomycetes | aor:AO090005001317,101.679
g311.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C307680WA,133.65
g365.t1,K11501,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C603420WA,168.703
g3723.t1,K06005,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C203670WA,77.0257
g4663.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C501500CA,95.9005
g6591.t1,K00419,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C402890CA,79.3369
g4549.t1,K19791,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C600460CA,55.0694
g2968.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C604140CA,227.254
g6791.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C302300WA,66.6254
g2671.t1,K14572,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C400970CA,143.665
g4525.t1,K03844,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C602270CA,166.392
g5964.t1,None,Animals | Fishes | Beloniformes | ola:105356774,130.954
g7878.t1,K17440,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C702120CA,133.65
g7441.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C109570WA,184.496
g8134.t1,K11126,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C108130CA,575.859
g2707.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C111270WA,73.1738
g2303.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C205870WA,74.3294
g2139.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C202220CA,88.1965
g3716.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C307760CA,458.759
g60.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C602200CA,70.8626
g1871.t1,K14572,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C400970CA,179.489
g6569.t1,K13181,Fungi | Ascomycetes | Saccharomycetes | kla:KLLA0_F15752g,64.6994
g810.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C603280WA,98.2117
g6746.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C302870CA,689.493
g5252.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C703620CA,117.857
g6440.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C500250CA,69.707
g6956.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C404790WA,389.037
g1195.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C400290CA,254.218
g5134.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C501500CA,78.1814
g2867.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C207930CA,140.198
g2765.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C209130CA,77.4109
g2692.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C111410CA,87.4261
g4641.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C400100CA,80.8777
g2678.t1,K14572,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C400970CA,2065.04
g7716.t1,K20131,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C602630CA,58.5362
g4123.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_CR02930WA,205.297
g8012.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C603220WA,111.309
g744.t1,K10742,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C600320CA,207.608
g5120.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C301750CA,65.855
g6067.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_CR00890CA,78.5666
g3777.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C505440CA,65.0846
