query,KO,taxon,score
g6978.t1,K08712,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C603840CA,54.299
g4440.t1,K15458,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C703010WA,52.7582
g1175.t1,K11229,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C702990WA,63.1586
g2794.t1,K14836,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C604330WA,61.6178
g3227.t1,K11778,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C505330CA,60.8474
g3723.t1,K06005,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C203670WA,77.0257
g6758.t1,K22243,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C302580CA,116.316
g223.t1,K10991,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C107980CA,108.227
g1116.t1,K17799,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C303820CA,114.39
g7709.t1,K18633,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C406080WA,66.6254
g5305.t1,K18694,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C602420WA,71.2478
g7980.t1,K11365,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C602310WA,172.17
g5025.t1,K01426,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C702920WA,53.1434
g365.t1,K11501,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C603420WA,168.703
g2629.t1,K22382,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C703240WA,59.3066
g1115.t1,K17799,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C303820CA,113.235
g4958.t1,K01426,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C702920WA,53.1434
g2486.t1,K11365,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C602310WA,53.9138
g2628.t1,K22063,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C602520WA,57.7658
g7088.t1,K14547,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C300330WA,142.895
g3180.t1,K20061,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C603180CA,57.7658
g7716.t1,K20131,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C602630CA,58.5362
g2488.t1,K11365,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C602310WA,52.373
g5041.t1,K11229,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C702990WA,57.3806
g6992.t1,K08712,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C603840CA,56.9954
g3721.t1,K10742,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C600320CA,79.7221
g4721.t1,K10742,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C600320CA,55.4546
g2971.t1,K11229,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C702990WA,62.003
g560.t1,K11244,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C602670CA,76.2553
g4254.t1,K23788,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C604470CA,93.2041
g3456.t1,K16073,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C302370CA,79.7221
g4942.t1,K03869,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_CR00370WA,115.161
g7314.t1,K11771,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C400300CA,128.257
g7357.t1,K21156,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C603580WA,51.2174
g8007.t1,K04567,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C701870WA,54.6842
g399.t1,K08838,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C602160WA,181.8
g390.t1,K21156,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C603580WA,51.2174
g991.t1,K10742,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C600320CA,53.5286
g6127.t1,K10742,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C600320CA,99.7525
g6478.t2,K06269,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C603830WA,59.6918
g4287.t1,K02863,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C500030WA,93.9745
