NR_query,NR_subject,NR_taxon,NR_bitscore,evalue
g723.t1,gb|KAL7665916.1|,Candida,74.7,5.67e-13
g7126.t1,gb|KAL6449814.1|,Candida maltosa Xu316,71.2,1.38e-09
g7221.t1,gb|KAL6449814.1|,Candida maltosa Xu316,75.1,1.94e-12
g7626.t1,ref|XP_049265963.1|,Candida,64.7,6.32e-10
g6297.t1,ref|XP_051607487.1|,Candida theae,95.1,8.31e-21
g4830.t1,gb|RCK65000.1|,Candida viswanathii,129.0,6.01e-32
g6149.t1,gb|RLP62471.1|,Candida albicans Ca529L,80.9,8.81e-12
g309.t1,ref|XP_049266509.1|,Candida,172.0,9.37e-46
g7017.t1,ref|XP_060975627.1|,Lodderomyces elongisporus,96.7,6.94e-20
g6678.t1,gb|KAG4080668.1|,Bradysia odoriphaga,99.4,1.89e-18
g6067.t1,ref|XP_019331050.1|,Candida albicans SC5314,85.1,4.74e-19
g2146.t1,gb|KAK6895287.1|,Candida tropicalis,130.0,3.29e-29
g8007.t1,ref|XP_049182199.1|,Candida oxycetoniae,79.7,7.06e-15
g7782.t1,ref|XP_001528706.2|,Lodderomyces elongisporus,1331.0,0.0
g6520.t2,ref|XP_019330677.1|,Candida albicans SC5314,72.0,1.35e-14
g3050.t1,ref|XP_051614164.1|,Candida pseudojiufengensis,80.5,1.05e-14
g5124.t1,ref|XP_049179552.1|,Candida oxycetoniae,108.0,5.24e-25
g1530.t1,ref|XP_051608213.1|,Candida theae,104.0,5.81e-23
g7604.t1,ref|XP_063594314.1|,Penaeus indicus,203.0,1.10e-54
g1301.t1,gb|RCK58102.1|,Candida viswanathii,122.0,4.12e-27
g4576.t1,gb|EDK46926.1|,Lodderomyces elongisporus NRRL YB-4239,72.4,3.94e-12
g781.t1,gb|MFA3599908.1|,Acinetobacter baumannii,71.6,2.03e-11
g4287.t1,ref|XP_002420313.1|,Candida dubliniensis CD36,96.3,1.08e-21
g3959.t1,ref|XP_051620315.1|,Candida jiufengensis,89.0,1.55e-16
g7313.t1,gb|KAG4409418.1|,Candida tropicalis,464.0,4.43e-145
g79.t1,ref|XP_064761858.1|,Scheffersomyces coipomensis,558.0,0.0
g6758.t1,ref|XP_002419191.1|,Candida dubliniensis CD36,120.0,1.67e-29
g1115.t1,gb|RCK67148.1|,Candida viswanathii,122.0,1.38e-29
g7441.t1,ref|XP_049262253.1|,Candida,200.0,6.57e-55
g7037.t1,ref|XP_002545273.1|,Candida tropicalis MYA-3404,303.0,4.90e-96
g4969.t1,gb|EMG45719.1|,Candida maltosa Xu316,62.8,5.89e-09
g6511.t1,gb|RCK59213.1|,Candida viswanathii,602.0,0.0
g3182.t1,ref|XP_051672533.1|,Candida margitis,63.9,1.78e-09
g2599.t1,gb|RCK56158.1|,Candida viswanathii,89.4,1.50e-17
g5120.t1,ref|XP_064773899.1|,Scheffersomyces xylosifermentans,66.2,7.04e-10
g5964.t1,ref|XP_064850134.1|,Saccharomycopsis crataegensis,214.0,7.47e-60
g6924.t1,gb|KGR05037.1|,Candida albicans P57072,60.5,1.94e-06
g2102.t1,gb|RCK67607.1|,Candida viswanathii,130.0,7.86e-33
g5813.t1,gb|KHC33059.1|,Candida albicans P76067,134.0,1.11e-33
g1370.t1,gb|RLP65638.1|,Candida albicans Ca529L,60.1,3.83e-07
g7025.t1,gb|EMG50256.1|,Candida maltosa Xu316,67.8,5.48e-08
g4550.t1,gb|EMG47722.1|,Candida maltosa Xu316,57.4,8.30e-07
g2298.t2,gb|KAL6452179.1|,Candida maltosa Xu316,102.0,1.83e-26
g3637.t1,ref|XP_051609539.1|,Candida theae,144.0,6.63e-37
g7709.t1,ref|XP_019330938.1|,Candida albicans SC5314,71.6,1.60e-14
g7446.t1,gb|RCK65239.1|,Candida viswanathii,271.0,1.06e-78
g5540.t1,ref|XP_001525601.2|,Lodderomyces elongisporus,57.4,6.98e-06
g3246.t1,gb|RCK54999.1|,Candida viswanathii,55.8,1.77e-06
g523.t1,ref|XP_051617209.1|,Candida pseudojiufengensis,82.8,5.02e-14
g4886.t1,ref|XP_049179489.1|,Candida oxycetoniae,65.5,3.00e-09
g2845.t1,gb|KAL6452752.1|,Candida maltosa Xu316,88.6,1.72e-20
g6250.t1,gb|KAL6450210.1|,Candida maltosa Xu316,110.0,4.89e-29
g5252.t1,gb|RCK66411.1|,Candida viswanathii,120.0,2.37e-29
g2301.t1,gb|KAK6875979.1|,Candida tropicalis,219.0,4.35e-65
g2739.t1,ref|XP_003866169.1|,Candida orthopsilosis Co 90-125,246.0,4.28e-64
g4641.t1,gb|RLV90868.1|,Spathaspora sp. JA1,83.6,4.25e-16
g7829.t1,ref|XP_036667127.1|,Candida parapsilosis,69.3,1.37e-09
g2692.t1,ref|XP_064737613.1|,Scheffersomyces amazonensis,80.1,1.59e-16
g1685.t1,emb|CAI5979767.1|,Closterium sp. NIES-64,86.3,1.20e-16
g5001.t1,gb|EDK44404.1|,Lodderomyces elongisporus NRRL YB-4239,220.0,2.04e-67
g2206.t1,ref|XP_064738328.1|,Scheffersomyces amazonensis,125.0,2.34e-35
g4419.t1,gb|EEQ45361.1|,Candida albicans WO-1,120.0,6.59e-29
g3457.t1,ref|XP_066831828.1|,Lodderomyces beijingensis,95.5,2.87e-20
g4515.t1,ref|XP_049179552.1|,Candida oxycetoniae,108.0,5.24e-25
g4973.t1,ref|XP_037789917.1|,Penaeus monodon,69.3,9.16e-09
g5061.t1,ref|XP_002548261.1|,Candida tropicalis MYA-3404,142.0,9.35e-38
g7190.t2,ref|XP_049263485.1|,Candida,80.1,6.66e-13
g223.t1,ref|XP_067546581.1|,Candida metapsilosis,145.0,1.53e-39
g4744.t1,ref|XP_020065290.1|,Suhomyces tanzawaensis NRRL Y-17324,176.0,1.01e-42
g8005.t1,ref|XP_002420892.1|,Candida dubliniensis CD36,101.0,5.00e-20
g4826.t1,ref|XP_064773899.1|,Scheffersomyces xylosifermentans,63.9,3.55e-09
g3891.t1,gb|EMG48757.1|,Candida maltosa Xu316,94.7,1.19e-22
g6419.t1,ref|XP_002420285.1|,Candida dubliniensis CD36,369.0,1.57e-124
g1779.t1,gb|KAL6449872.1|,Candida maltosa Xu316,90.9,5.43e-15
g345.t2,gb|KAL6449813.1|,Candida maltosa Xu316,86.3,4.06e-14
g676.t1,gb|EMG48108.1|,Candida maltosa Xu316,140.0,3.37e-34
g6272.t1,emb|CAI5759266.1|,Candida verbasci,138.0,1.92e-40
g1237.t1,gb|KAL1578070.1|,Candida albicans,278.0,1.18e-73
