query,KO,taxon,score
g575.t1,K05841,Fungi | Ascomycetes | Eurotiomycetes | afm:AFUA_2G02220,28.8758
g723.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C301800CA,44.669
g7126.t1,K04614,Animals | Mammals | Lagomorpha | ocu:100311036,28.4906
g7221.t1,K04614,Animals | Mammals | Lagomorpha | ocu:100311036,27.7202
g5875.t1,None,Plants | Monocots | Poaceae | zma:100382472,25.409
g7626.t1,K22023,Animals | Mammals | Primates | mcc:698572,32.3426
g6662.t1,K12875,Animals | Fishes | Cypriniformes | dre:368893,46.595
g6297.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C404220WA,81.2629
g5950.t1,None,Animals | Insects | Diptera | dme:Dmel_CG9507,25.409
g1367.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C603750CA,49.6766
g4830.t1,K17974,Fungi | Ascomycetes | Saccharomycetes | kla:KLLA0_E06029g,73.1738
g5288.t1,K18876,Bacteria | other Gammaproteobacteria | Xanthomonas | xom:XOO2158,30.0314
g2645.t1,K10396,Fungi | Basidiomycetes | Tremellomycetes | cne:CNB00740,31.5722
g6149.t1,None,Plants | Eudicots | Vitaceae | vvi:100252810,45.0542
g3035.t1,K15319,Fungi | Ascomycetes | Eurotiomycetes | afm:AFUA_7G00150,26.9498
g309.t1,None,Bacteria | Clostridia | Clostridium | cbo:CBO0265,28.1054
g7017.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C209130CA,82.0333
g5261.t1,None,Viruses | Viruses | vg | vg:55004769,36.965
g3873.t1,None,Viruses | Viruses | vg | vg:65101495,26.9498
g6678.t1,None,Fungi | Ascomycetes | Saccharomycetes | sce:YHR211W,36.1946
g454.t1,K01897,Animals | Insects | Diptera | dme:Dmel_CG3961,28.1054
g6067.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_CR00890CA,78.5666
g1193.t1,K00286,Bacteria | Actinomycetota | Mycobacterium | mle:ML2430,26.9498
g2146.t1,None,Fungi | Ascomycetes | Sordariomycetes | fgr:FGSG_07687,33.113
g8007.t1,K04567,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C701870WA,54.6842
g4558.t1,K20102,Animals | Amphibians | Anura | xla:398949,29.261
g7782.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C200650WA,1228.77
g6520.t2,K00944,Animals | Mammals | Carnivora | cfa:102152410,28.4906
g3050.t1,K12041,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C600570CA,38.1206
g992.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C604140CA,41.5874
g5124.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_CR00170WA,96.6709
g1530.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C200640WA,88.1965
g7604.t1,None,Plants | Eudicots | Solanaceae | sly:104647491,80.4925
g1301.t1,K26977,Viruses | Viruses | vg | vg:14181547,34.2686
g5384.t1,K12331,Animals | Mammals | Perissodactyla | ecb:100064689,26.9498
g4576.t1,K03250,Protists | Euglenozoa | Kinetoplastea | tbr:Tb11.01.3420,28.1054
g781.t1,K20915,Animals | Insects | Diptera | aga:1281709,30.4166
g2625.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_CR07730WA,39.2762
g4287.t1,K02863,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C500030WA,93.9745
g2267.t1,None,Plants | Eudicots | Cucurbitaceae | csv:101205639,26.9498
g3959.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C104940CA,36.5798
g1640.t1,K01301,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C400070CA,33.4982
g7313.t1,K14572,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C400970CA,437.187
g79.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C502430WA,440.269
g4335.t1,K09272,Fungi | Ascomycetes | Sordariomycetes | fgr:FGSG_02518,34.6538
g1294.t1,K01754,Bacteria | Actinomycetota | Streptomyces | sgu:SGLAU_02675,25.409
g6758.t1,K22243,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C302580CA,116.316
g1115.t1,K17799,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C303820CA,113.235
g3641.t1,K16368,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C200790CA,36.5798
g4912.t1,K03953,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C301610WA,42.3578
g7441.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C109570WA,184.496
g7037.t1,K14572,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C400970CA,288.115
g2646.t1,K03529,Bacteria | Cyanobacteriota | Synechococcus | syf:Synpcc7942_2045,32.3426
g6998.t1,K17571,Animals | Mammals | Carnivora | cfa:612302,25.7942
g4969.t1,K13587,Bacteria | Alphaproteobacteria | Agrobacterium | atu:Atu1362,30.0314
g6511.t1,K14572,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C400970CA,568.155
g1679.t1,K19562,Plants | Eudicots | Fabaceae | gmx:100778549,23.483
g6603.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C200900WA,35.8094
g3182.t1,None,Viruses | Viruses | vg | vg:30999697,28.1054
g5749.t1,None,Animals | other Ecdysozoa | Nematodes | cel:CELE_T06D8.1,42.3578
g5138.t1,None,Plants | Green algae | Chlamydomonadaceae | cre:CHLRE_02g145452v5,29.6462
g2599.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C105690CA,35.4242
g2568.t1,None,Viruses | Viruses | vg | vg:16607456,29.6462
g5120.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C301750CA,65.855
g5964.t1,None,Animals | Fishes | Beloniformes | ola:105356774,130.954
g6924.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C602760WA,63.1586
g2102.t1,K09321,Animals | Amphibians | Anura | xla:108704651,27.7202
g1453.t1,None,Plants | Eudicots | Fabaceae | gmx:100805872,28.4906
g3643.t1,K23644,Animals | Insects | Diptera | aga:5667420,24.6386
g1179.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_CR00310CA,34.2686
g5304.t1,K08029,Animals | Insects | Lepidoptera | bmor:101737778,28.4906
g5813.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C504850WA,123.635
g4664.t1,None,Bacteria | Alphaproteobacteria | Mesorhizobium | mlo:mll2080,30.4166
g1224.t1,K06163,Bacteria | other Gammaproteobacteria | Pseudomonas | pst:PSPTO_2562,28.8758
g1370.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C505240CA,51.2174
g4595.t1,K01912,Bacteria | Betaproteobacteria | Bordetella | bpe:BP2675,28.4906
g6039.t1,K12562,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C604040CA,29.6462
