SwissProt_query,SwissProt_subject,SwissProt_taxon,SwissProt_bitscore,SwissProt_evalue
g5318.t1,sp|P40850|MKT1_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),296.0,6.32e-87
g768.t1,sp|Q12019|MDN1_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),137.0,1.13e-36
g5464.t1,sp|Q6BK42|DDI1_DEBHA,Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968),320.0,1.11e-105
g4830.t1,sp|P47135|JSN1_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),79.0,1.34e-17
g1613.t1,sp|Q640S1|S39A9_XENTR,Xenopus tropicalis,119.0,1.31e-30
g1417.t1,sp|Q9UTA9|YL89_SCHPO,Schizosaccharomyces pombe (strain 972 / ATCC 24843),95.9,6.45e-22
g6591.t1,sp|A0A1D8PLP3|QCR9_CANAL,Candida albicans (strain SC5314 / ATCC MYA-2876),85.5,6.08e-23
g7017.t1,sp|Q59XL0|IFF6_CANAL,Candida albicans (strain SC5314 / ATCC MYA-2876),80.9,1.31e-17
g7029.t2,sp|Q59XL0|IFF6_CANAL,Candida albicans (strain SC5314 / ATCC MYA-2876),232.0,2.52e-69
g6678.t1,sp|Q12114|CHS5_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),56.6,1.07e-07
g744.t1,sp|P38859|DNA2_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),84.0,5.29e-18
g7782.t1,sp|P87136|YDM5_SCHPO,Schizosaccharomyces pombe (strain 972 / ATCC 24843),199.0,1.14e-50
g1008.t1,sp|Q03400|SANT_PLAF7,Plasmodium falciparum (isolate 3D7),88.2,3.41e-19
g2867.t1,sp|P37370|VRP1_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),71.6,5.65e-12
g3214.t1,sp|A0A1P8ASY1|JHS1_ARATH,Arabidopsis thaliana,72.8,1.96e-15
g6990.t1,sp|Q5A8H7|SWC5_CANAL,Candida albicans (strain SC5314 / ATCC MYA-2876),271.0,2.63e-88
g3011.t1,sp|P22943|HSP12_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),75.1,2.16e-17
g7604.t1,sp|Q8R149|BUD13_MOUSE,Mus musculus,58.9,7.58e-08
g6504.t1,sp|Q06852|SLAP1_ACET2,Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC 103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372),145.0,1.27e-36
g1301.t1,sp|A5E4Z8|KAR5_LODEL,Lodderomyces elongisporus (strain ATCC 11503 / CBS 2605 / JCM 1781 / NBRC 1676 / NRRL YB-4239),96.3,4.99e-21
g628.t1,sp|Q59X67|EFG1_CANAL,Candida albicans (strain SC5314 / ATCC MYA-2876),295.0,1.64e-91
g7194.t1,sp|Q04608|YD124_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),79.7,2.51e-15
g8134.t1,sp|Q06163|TERT_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),179.0,1.92e-45
g7878.t1,sp|P32388|RM49_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),57.4,4.23e-10
g7368.t2,sp|Q59XL0|IFF6_CANAL,Candida albicans (strain SC5314 / ATCC MYA-2876),237.0,2.01e-71
g5857.t1,sp|Q12019|MDN1_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),129.0,1.68e-35
g3642.t1,sp|Q59MJ1|MRR2_CANAL,Candida albicans (strain SC5314 / ATCC MYA-2876),67.8,9.34e-14
g7313.t1,sp|Q12019|MDN1_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),240.0,2.52e-70
g6341.t1,sp|Q07307|UAPA_EMENI,Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139),639.0,0.0
g6654.t1,sp|Q06852|SLAP1_ACET2,Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC 103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372),138.0,6.72e-35
g2428.t1,sp|Q4ZGE1|EMR1_SCHPO,Schizosaccharomyces pombe (strain 972 / ATCC 24843),56.6,1.28e-11
g344.t2,sp|Q06852|SLAP1_ACET2,Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC 103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372),90.9,5.33e-17
g7680.t1,sp|P49413|UAY_EMENI,Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139),62.4,4.75e-10
g2289.t1,sp|Q9UA35|S28A3_EPTST,Eptatretus stoutii,266.0,8.27e-79
g712.t1,sp|Q9BWT6|MND1_HUMAN,Homo sapiens,85.9,1.39e-19
g1158.t1,sp|Q8WZM4|ETR2_CANTR,Candida tropicalis,50.8,9.48e-09
g7037.t1,sp|Q12019|MDN1_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),181.0,9.95e-50
g2975.t1,sp|Q12019|MDN1_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),965.0,0.0
g5241.t1,sp|Q6BNU7|XRN2_DEBHA,Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968),152.0,2.94e-43
g1515.t1,sp|Q6BTL5|DRS1_DEBHA,Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968),73.2,5.13e-15
g6511.t1,sp|Q12019|MDN1_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),487.0,8.18e-155
g5271.t1,sp|Q03829|MME1_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),46.2,6.60e-07
g5909.t1,sp|P54563|YQJZ_BACSU,Bacillus subtilis (strain 168),79.7,2.32e-19
g7373.t1,sp|Q5A5U6|PGA30_CANAL,Candida albicans (strain SC5314 / ATCC MYA-2876),108.0,4.79e-28
g521.t1,sp|Q9HCI5|MAGE1_HUMAN,Homo sapiens,56.6,2.44e-08
g1310.t1,sp|A5E4Z8|KAR5_LODEL,Lodderomyces elongisporus (strain ATCC 11503 / CBS 2605 / JCM 1781 / NBRC 1676 / NRRL YB-4239),52.8,4.70e-08
g6390.t1,sp|O94742|SEM1_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),51.2,8.51e-09
g58.t1,sp|Q9Y7S2|YQO3_SCHPO,Schizosaccharomyces pombe (strain 972 / ATCC 24843),48.9,1.83e-06
g3898.t1,sp|Q5A6K2|ATG22_CANAL,Candida albicans (strain SC5314 / ATCC MYA-2876),628.0,0.0
g5120.t1,sp|Q5AJC1|BRO1_CANAL,Candida albicans (strain SC5314 / ATCC MYA-2876),53.9,9.09e-09
g3272.t1,sp|P40004|YEA4_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),213.0,8.23e-66
g5964.t1,sp|P0CT43|TF28_SCHPO,Schizosaccharomyces pombe (strain 972 / ATCC 24843),167.0,1.36e-44
g6322.t1,sp|Q5A1A9|PGA43_CANAL,Candida albicans (strain SC5314 / ATCC MYA-2876),158.0,1.39e-46
g3941.t1,sp|Q06821|YP084_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),191.0,4.19e-56
g7130.t1,sp|Q03104|MSC1_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),164.0,9.53e-42
g2671.t1,sp|Q12019|MDN1_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),102.0,2.21e-25
g2765.t1,sp|Q59XL0|IFF6_CANAL,Candida albicans (strain SC5314 / ATCC MYA-2876),80.5,3.35e-18
g3878.t1,sp|Q59N20|MSS11_CANAL,Candida albicans (strain SC5314 / ATCC MYA-2876),121.0,4.53e-28
g92.t1,sp|Q65169|VF602_ASFB7,African swine fever virus (strain Badajoz 1971 Vero-adapted),70.5,1.54e-11
g3969.t1,sp|Q59VC6|DAD3_CANAL,Candida albicans (strain SC5314 / ATCC MYA-2876),72.8,4.70e-16
g100.t1,sp|Q12019|MDN1_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),184.0,6.99e-52
g2298.t2,sp|Q6BPV1|COX9_DEBHA,Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968),92.0,1.04e-25
g18.t1,sp|O74350|BDC1_SCHPO,Schizosaccharomyces pombe (strain 972 / ATCC 24843),70.9,3.26e-13
g867.t1,sp|Q9V4S8|CSN7_DROME,Drosophila melanogaster,55.8,3.93e-08
g433.t1,sp|Q6BXG5|TDA11_DEBHA,Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968),200.0,4.30e-58
g2475.t1,sp|Q5AXT5|PIF1_EMENI,Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139),57.8,8.02e-09
g7446.t1,sp|Q5AK62|SSD1_CANAL,Candida albicans (strain SC5314 / ATCC MYA-2876),236.0,1.93e-69
g7368.t1,sp|Q59XL0|IFF6_CANAL,Candida albicans (strain SC5314 / ATCC MYA-2876),261.0,1.68e-79
g4754.t1,sp|P43596|IOC3_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),59.7,8.87e-08
g1871.t1,sp|Q12019|MDN1_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),155.0,4.81e-44
g5840.t1,sp|Q03829|MME1_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),46.2,6.60e-07
g5046.t1,sp|Q12019|MDN1_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),110.0,8.41e-29
g346.t1,sp|Q06852|SLAP1_ACET2,Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC 103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372),86.7,6.51e-16
g4525.t1,sp|Q59S72|ALG11_CANAL,Candida albicans (strain SC5314 / ATCC MYA-2876),178.0,6.30e-53
g6250.t1,sp|P46965|SPC1_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),46.2,6.48e-07
g7144.t1,sp|C4YMW2|THI5_CANAW,Candida albicans (strain WO-1),617.0,0.0
g4345.t1,sp|Q5A917|MED22_CANAL,Candida albicans (strain SC5314 / ATCC MYA-2876),134.0,9.84e-41
g2301.t1,sp|Q06032|CST9_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),63.2,7.95e-10
g5385.t1,sp|Q5ADX2|HIR3_CANAL,Candida albicans (strain SC5314 / ATCC MYA-2876),143.0,4.61e-40
g3731.t1,sp|P38859|DNA2_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),309.0,1.39e-87
g1854.t1,sp|Q9ES73|MAGD1_RAT,Rattus norvegicus,52.0,9.58e-08
g5867.t1,sp|Q6BVE3|PRM10_DEBHA,Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968),49.7,2.19e-07
g5001.t1,sp|Q0E7J8|REV7_SCHPO,Schizosaccharomyces pombe (strain 972 / ATCC 24843),50.8,1.68e-06
g2206.t1,sp|O74966|RUXG_SCHPO,Schizosaccharomyces pombe (strain 972 / ATCC 24843),95.1,1.53e-26
g4419.t1,sp|Q12019|MDN1_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),95.1,2.33e-23
g8011.t1,sp|Q6BVE3|PRM10_DEBHA,Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968),58.9,3.04e-09
g2586.t1,sp|P39103|COX14_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),48.1,5.21e-08
