NR_query,NR_subject,NR_taxon,NR_bitscore,NR_evalue
g723.t1,gb|KAL7665916.1|,Candida,74.7,5.67e-13
g4339.t1,gb|EMG50144.1|,Candida maltosa Xu316,72.8,1.10e-13
g3456.t1,ref|XP_051607089.1|,Candida theae,96.3,1.12e-20
g7126.t1,gb|KAL6449814.1|,Candida maltosa Xu316,71.2,1.38e-09
g2971.t1,gb|EMG45936.1|,Candida maltosa Xu316,63.2,1.15e-08
g7221.t1,gb|KAL6449814.1|,Candida maltosa Xu316,75.1,1.94e-12
g7399.t1,gb|MFN3178767.1|,Thermus sp.,63.2,1.66e-07
g6716.t1,gb|KAL6453049.1|,Candida maltosa Xu316,62.0,2.87e-08
g3205.t1,dbj|BGR34489.1|,Thiomonas islandica,62.4,2.56e-10
g1336.t1,emb|CAK7913114.1|,Candida,106.0,3.84e-23
g991.t1,ref|XP_002420829.1|,Candida dubliniensis CD36,60.1,1.13e-06
g6901.t1,gb|KAE8289371.1|,Larimichthys crocea,77.8,6.11e-13
g7626.t1,ref|XP_049265963.1|,Candida,64.7,6.32e-10
g7907.t1,gb|RCK65582.1|,Candida viswanathii,87.0,9.99e-15
g6297.t1,ref|XP_051607487.1|,Candida theae,95.1,8.31e-21
g3723.t1,gb|RCK58931.1|,Candida viswanathii,92.4,2.08e-18
g834.t1,ref|XP_051612598.1|,Candida pseudojiufengensis,119.0,3.58e-30
g7482.t1,ref|XP_002547517.1|,Candida tropicalis MYA-3404,155.0,2.78e-41
g6149.t1,gb|RLP62471.1|,Candida albicans Ca529L,80.9,8.81e-12
g3095.t1,gb|KGU33196.1|,Candida albicans P57055,55.5,5.62e-06
g3730.t1,gb|RCK57914.1|,Candida viswanathii,70.1,2.85e-11
g309.t1,ref|XP_049266509.1|,Candida,172.0,9.37e-46
g7069.t1,gb|KGU18125.1|,Candida albicans P34048,65.1,1.81e-09
g7050.t1,gb|RCK63404.1|,Candida viswanathii,111.0,9.32e-27
g5165.t1,gb|KAL6451884.1|,Candida maltosa Xu316,55.5,5.62e-07
g6067.t1,ref|XP_019331050.1|,Candida albicans SC5314,85.1,4.74e-19
g1813.t1,ref|XP_020077282.1|,Hyphopichia burtonii NRRL Y-1933,64.3,1.48e-09
g2146.t1,gb|KAK6895287.1|,Candida tropicalis,130.0,3.29e-29
g8007.t1,ref|XP_049182199.1|,Candida oxycetoniae,79.7,7.06e-15
g8168.t1,gb|EMG45632.1|,Candida maltosa Xu316,741.0,0.0
g6520.t2,ref|XP_019330677.1|,Candida albicans SC5314,72.0,1.35e-14
g3050.t1,ref|XP_051614164.1|,Candida pseudojiufengensis,80.5,1.05e-14
g3127.t2,ref|XP_001385008.2|,Scheffersomyces stipitis CBS 6054,100.0,1.74e-18
g5124.t1,ref|XP_049179552.1|,Candida oxycetoniae,108.0,5.24e-25
g7124.t1,gb|RCK66008.1|,Candida viswanathii,309.0,1.33e-95
g1523.t1,ref|XP_051608213.1|,Candida theae,106.0,1.29e-23
g5993.t1,ref|XP_002420938.1|,Candida dubliniensis CD36,62.8,6.91e-09
g1530.t1,ref|XP_051608213.1|,Candida theae,104.0,5.81e-23
g1638.t1,ref|XP_001523670.2|,Lodderomyces elongisporus,80.1,2.53e-13
g3639.t1,gb|RCK54999.1|,Candida viswanathii,55.8,1.77e-06
g2241.t1,emb|CAA7389409.1|,Spirodela intermedia,58.9,1.79e-07
g2538.t1,ref|XP_051611903.1|,Candida pseudojiufengensis,278.0,6.30e-92
g7190.t1,ref|XP_049263485.1|,Candida,59.3,9.92e-07
g4100.t1,ref|XP_069156436.1|,Procambarus clarkii,77.0,2.44e-11
g3777.t1,emb|CAI5759684.1|,Candida verbasci,84.3,1.05e-15
g5834.t1,ref|XP_049179085.1|,Candida oxycetoniae,97.4,7.36e-21
g204.t1,gb|KAL1575631.1|,Candida albicans,166.0,7.21e-45
g7156.t2,ref|XP_049263485.1|,Candida,74.7,1.48e-11
g4123.t1,gb|KAK6885788.1|,Candida tropicalis,138.0,2.36e-28
