query,subject,taxon,bitscore,evalue
g5867.t1,sp|Q6BVE3|PRM10_DEBHA,Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968),49.7,2.19e-07
g5120.t1,sp|Q5AJC1|BRO1_CANAL,Candida albicans (strain SC5314 / ATCC MYA-2876),53.9,9.09e-09
g2303.t1,sp|P0CU26|INA17_SCHPO,Schizosaccharomyces pombe (strain 972 / ATCC 24843),43.9,7.44e-06
g1310.t1,sp|A5E4Z8|KAR5_LODEL,Lodderomyces elongisporus (strain ATCC 11503 / CBS 2605 / JCM 1781 / NBRC 1676 / NRRL YB-4239),52.8,4.70e-08
g5061.t1,sp|P38680|MTR_NEUCR,Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987),47.8,1.22e-06
g346.t1,sp|Q06852|SLAP1_ACET2,Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC 103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372),86.7,6.51e-16
g7801.t1,sp|A0A0J9WP80|FTF2_FUSO4,Fusarium oxysporum f. sp. lycopersici (strain 4287 / CBS 123668 / FGSC 9935 / NRRL 34936),73.9,1.56e-13
g7017.t1,sp|Q59XL0|IFF6_CANAL,Candida albicans (strain SC5314 / ATCC MYA-2876),80.9,1.31e-17
g4826.t1,sp|Q5AJC1|BRO1_CANAL,Candida albicans (strain SC5314 / ATCC MYA-2876),52.8,2.25e-08
g8011.t1,sp|Q6BVE3|PRM10_DEBHA,Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968),58.9,3.04e-09
g7130.t1,sp|Q03104|MSC1_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),164.0,9.53e-42
g6288.t1,sp|Q06852|SLAP1_ACET2,Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC 103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372),189.0,6.45e-50
g344.t2,sp|Q06852|SLAP1_ACET2,Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC 103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372),90.9,5.33e-17
g18.t1,sp|O74350|BDC1_SCHPO,Schizosaccharomyces pombe (strain 972 / ATCC 24843),70.9,3.26e-13
g7029.t2,sp|Q59XL0|IFF6_CANAL,Candida albicans (strain SC5314 / ATCC MYA-2876),232.0,2.52e-69
g1301.t1,sp|A5E4Z8|KAR5_LODEL,Lodderomyces elongisporus (strain ATCC 11503 / CBS 2605 / JCM 1781 / NBRC 1676 / NRRL YB-4239),96.3,4.99e-21
g3642.t1,sp|Q59MJ1|MRR2_CANAL,Candida albicans (strain SC5314 / ATCC MYA-2876),67.8,9.34e-14
g5363.t1,sp|Q59L86|PGA25_CANAL,Candida albicans (strain SC5314 / ATCC MYA-2876),62.4,6.29e-09
g3534.t1,sp|Q5RIM0|LYRM2_DANRE,Danio rerio,48.9,1.02e-07
g7604.t1,sp|Q8R149|BUD13_MOUSE,Mus musculus,58.9,7.58e-08
