query,KO,KEGG_taxon,KEGG_score,SwissProt_subject,SwissProt_taxon,SwissProt_bitscore,SwissProt_evalue,NR_subject,NR_taxon,NR_bitscore,NR_evalue
g3878.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_CR04840CA,108.612,sp|Q59N20|MSS11_CANAL,Candida albicans (strain SC5314 / ATCC MYA-2876),121.0,4.53e-28,gb|KHC45244.1|,Candida albicans P60002,119.0,5.10e-26
g4345.t1,K15140,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C101280CA,134.806,sp|Q5A917|MED22_CANAL,Candida albicans (strain SC5314 / ATCC MYA-2876),134.0,9.84e-41,ref|XP_049262659.1|,Candida,167.0,8.52e-51
g311.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C307680WA,133.65,sp|Q5ADX2|HIR3_CANAL,Candida albicans (strain SC5314 / ATCC MYA-2876),141.0,3.03e-39,gb|KAG4409342.1|,Candida tropicalis,142.0,3.06e-36
g6591.t1,K00419,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C402890CA,79.3369,sp|A0A1D8PLP3|QCR9_CANAL,Candida albicans (strain SC5314 / ATCC MYA-2876),85.5,6.08e-23,ref|XP_020063533.1|,Suhomyces tanzawaensis NRRL Y-17324,99.8,1.66e-25
g4549.t1,K19791,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C600460CA,55.0694,sp|P78591|FET3_CANAX,Candida albicans,57.0,1.58e-10,gb|EMG45772.1|,Candida maltosa Xu316,60.8,1.23e-09
g2671.t1,K14572,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C400970CA,143.665,sp|Q12019|MDN1_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),102.0,2.21e-25,gb|RCK59213.1|,Candida viswanathii,141.0,5.84e-36
g4525.t1,K03844,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C602270CA,166.392,sp|Q59S72|ALG11_CANAL,Candida albicans (strain SC5314 / ATCC MYA-2876),178.0,6.30e-53,gb|KAF6070885.1|,Candida albicans,176.0,4.25e-50
g5964.t1,None,Animals | Fishes | Beloniformes | ola:105356774,130.954,sp|P0CT43|TF28_SCHPO,Schizosaccharomyces pombe (strain 972 / ATCC 24843),167.0,1.36e-44,ref|XP_064850134.1|,Saccharomycopsis crataegensis,214.0,7.47e-60
g7878.t1,K17440,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C702120CA,133.65,sp|P32388|RM49_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),57.4,4.23e-10,ref|XP_067547101.1|,Candida metapsilosis,154.0,1.22e-44
g8134.t1,K11126,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C108130CA,575.859,sp|Q06163|TERT_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),179.0,1.92e-45,gb|KAK6896650.1|,Candida tropicalis,590.0,0.0
g2303.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C205870WA,74.3294,sp|P0CU26|INA17_SCHPO,Schizosaccharomyces pombe (strain 972 / ATCC 24843),43.9,7.44e-06,gb|KAG4408534.1|,Candida tropicalis,87.4,7.22e-20
