query,KO,taxon,score
g2486.t1,K11365,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C602310WA,53.9138
g2707.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C111270WA,73.1738
g7716.t1,K20131,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C602630CA,58.5362
g961.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C604140CA,50.0618
g4440.t1,K15458,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C703010WA,52.7582
g2628.t1,K22063,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C602520WA,57.7658
g5041.t1,K11229,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C702990WA,57.3806
g2488.t1,K11365,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C602310WA,52.373
g338.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C602090CA,58.151
